Kiev+st. Milutenko+17+25;rgb(255, 255, 0);2016-02-11;
"Kiev+st. Milutenko+17a+1";rgb(255, 255, 0);2016-02-11;
"Kiev+st. Milutenko+17+2";rgb(255, 255, 0);2016-02-11;
"Kiev+st. Milutenko+17+3";rgb(255, 255, 0);2016-02-11;
"Kiev+st. Milutenko+17+4";rgb(255, 255, 0);2016-02-11;
"Киев+ул. Маршала Жукова+1+4"rgb(255, 255,100);2016-02-12;
"Киев+ул. Маршала Жукова+1+5";rgb(255, 255,100);2016-02-13;
"Киев+ул. Маршала Жукова+1+6";rgb(255, 255,100);2016-02-13;
"Киев+ул. Маршала Жукова+1+7";rgb(255, 255,100);2016-02-14;
"Киев+ул. Маршала Жукова+1+8";rgb(255, 255,150);2016-02-14;
"Киев+ул. Маршала Жукова+1+9";rgb(255, 255,150);2016-02-15;

